Salesforce Account Name,Simplified Platform Tier,Account Type,Is Ela Subscription,Is Pbf,Account Connections Cost,Account DLW Cost,Account Annualized Cost,Annualized Revenue,Account Cost Margin,# of Syncing Connections,Total Donkey Runtime (hrs),Minimum ARR (70% Margin - Compute),Ideal ARR (95% Margin - Compute),Account Connections Cost (Grand Total),Account DLW Cost (Grand Total),Account Annualized Cost (Grand Total),Annualized Revenue (Grand Total),Account Cost Margin (Grand Total),# of Syncing Connections (Grand Total),Total Donkey Runtime (hrs) (Grand Total),Minimum ARR (70% Margin - Compute) (Grand Total),Ideal ARR (95% Margin - Compute) (Grand Total)
Beazley,BCF,Customer,false,false,97210.44162512194,0.0,97210.44162512194,159739.64000399996,0.3914444678685407,2153,54824.50304916668,324034.80541707313,1944208.8325024387,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
OPTIMIND Inc.株式会社オプティマインド,Enterprise,Customer,false,false,95338.13170302997,0.0,95338.13170302997,2403.6,-38.66472445624479,531,9778.851366666668,317793.77234343323,1906762.6340605994,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Thomson Reuters Holdings Inc,BCF,HVR Only Customer,false,false,93314.26332068899,0.0,93314.26332068899,1114770.600000009,0.9162928558389607,5839,37768.586572500004,311047.54440229665,1866285.2664137797,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
"Bridge IT, Inc.",,Customer,true,false,90666.12917394894,0.0,90666.12917394894,251939.05787345814,0.6401267435893645,54,3670.173944166666,302220.4305798298,1813322.5834789786,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
YPrime,,Customer,true,false,89884.67791582464,84.48407689941929,89969.16199272405,120754.58202599348,0.25494204457303826,543,18518.478641111124,299897.2066424135,1799383.239854481,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Capella Space,BCF,Customer,false,false,89282.12012802571,0.0,89282.12012802571,15745.08,-4.67047738900188,8,194.50488888888887,297607.067093419,1785642.4025605142,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Unilever Prestige,,Customer,true,false,1144.5869134856353,87369.08988760742,88513.67680109305,336432.1124584041,0.7369047914175055,54,2765.8955130555555,295045.5893369769,1770273.536021861,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Symbotic LLC,,Customer,true,false,87956.71899248962,0.0,87956.71899248962,494748.16537563264,0.8222192114129229,180,58349.67639472221,293189.06330829876,1759134.3798497925,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Rivian Automotive LLC,,Customer,true,false,85505.56324033372,0.0,85505.56324033372,599496.4634130544,0.8573710297579851,359,10431.601677777791,285018.5441344458,1710111.2648066743,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Fospha Limited,Enterprise,Customer,false,true,84286.70085994633,0.0,84286.70085994633,274921.92000000185,0.6934158583646377,3121,28058.671648888878,280955.66953315446,1685734.0171989265,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
"Block, Inc.",Enterprise,Customer,false,false,84192.2239811025,0.0,84192.2239811025,1144248.960000002,0.9264214109654053,4795,23842.035423055622,280640.746603675,1683844.47962205,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Onramp Funds,Standard,Customer,false,false,43.8377697695725,82735.95698739862,82779.79475716819,114226.91999999981,0.27530397600523304,1311,14156.315233333342,275932.6491905606,1655595.8951433636,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
HouseCall Pro,,Customer,true,false,1859.3868095852188,78838.61471822392,80698.00152780915,166978.87388404112,0.5167172969207465,51,1284.615877777778,268993.3384260305,1613960.0305561828,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
Protelindo,,Customer,true,false,78311.33289993118,0.0,78311.33289993118,76289.87294418193,-0.026497094276566324,49,3229.229678888889,261037.77633310395,1566226.6579986236,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
SmarterDx,Enterprise,Customer,false,true,77568.5074096776,0.0,77568.5074096776,206649.60000000006,0.6246375148576258,258,14253.619215000006,258561.69136559198,1551370.1481935517,17798051.09548495,4172879.0050849714,21970930.10056965,334937103.64617896,0.934402818136926,351662,6330660.765095629,73236433.66856551,439418602.011393
